location,lon,lat
勺中,116.30021289738094,39.98895161894276
勺西,116.29929195277487,39.989801879823546
勺园,116.29958367818232,39.99049181 
学五,116.30110174233455,39.987673958131104
家园,116.30140155905461,39.98741040205559
艺园,116.30101081859954,39.98696104725333
学一,116.30171217333174,39.98617892559655
松林,116.30224753328163,39.98642457834822
佟园,116.30061698288495,39.989676283823805
农园,116.30639599416438,39.98762541201529
农园咖啡厅,116.30625148513873,39.987788019482466
燕南,116.30413410650358,39.989372084757015
燕南地下/泊星地,116.30459724575286,39.98920480653229
成府园,116.30796871168025,39.99531988725966
